name,nationality,year,rating,roles
GuardiaN,Slovakia,2015,1.18,
NiKo,Bosnia,2015,1.15,
device,Denmark,2015,1.14,
oskar,Czechia,2015,1.14,
s1mple,Ukraine,2015,1.13,
kennyS,France,2015,1.13,
olofmeister,Sweden,2015,1.11,
f0rest,Sweden,2015,1.11,
rain,Norway,2015,1.11,
aizy,Denmark,2015,1.10,
KRIMZ,Sweden,2015,1.10,
Happy,France,2015,1.10,
SZPERO,Poland,2015,1.10,
WorldEdit,Russia,2015,1.09,
coldzera,Brazil,2015,1.08,
flamie,Russia,2015,1.08,
nitr0,USA,2015,1.08,
flusha,Sweden,2015,1.07,
Skadoodle,USA,2015,1.07,
jdm64,USA,2015,1.06,
GeT_RiGhT,Sweden,2015,1.06,
dream3r,Bulgaria,2015,1.05,
dupreeh,Denmark,2015,1.05,
Snax,Poland,2015,1.05,
Xyp9x,Denmark,2015,1.04,
NBK-,France,2015,1.04,
MICHU,Poland,2015,1.04,
chrisJ,Netherlands,2015,1.04,
shox,France,2015,1.04,
bondik,Ukraine,2015,1.04,
jkaem,Norway,2015,1.04,
dennis,Sweden,2015,1.03,
ScreaM,Belgium,2015,1.03,
Hiko,USA,2015,1.03,
allu,Finland,2015,1.02,
seized,Russia,2015,1.02,
apEX,France,2015,1.02,
fer,Brazil,2015,1.02,
cajunb,Denmark,2015,1.01,
FalleN,Brazil,2015,1.01,
fox,Portugal,2015,1.01,
JW,Sweden,2015,1.01,
Kjaerbye,Denmark,2015,1.00,
Pimp,Denmark,2015,1.00,
shroud,Canada,2015,0.99,
pashaBiceps,Poland,2015,0.99,
byali,Poland,2015,0.99,
n0thing,USA,2015,0.98,
karrigan,Denmark,2015,0.98,
kioShiMa,France,2015,0.98,
TENZKI,Denmark,2015,0.98,
nex,Germany,2015,0.98,
tarik,USA,2015,0.97,
markeloff,Ukraine,2015,0.97,
adreN,USA,2015,0.97,
v1c7oR,Bulgaria,2015,0.97,
Xizt,Sweden,2015,0.97,
NEO,Poland,2015,0.96,
EliGE,USA,2015,0.96,
Maikelele,Sweden,2015,0.96,
RpK,France,2015,0.96,
innocent,Poland,2015,0.95,
znajder,Sweden,2015,0.95,
FugLy,USA,2015,0.95,
ANGE1,Ukraine,2015,0.95,
Edward,Ukraine,2015,0.94,
reltuC,USA,2015,0.94,
Furlan,Poland,2015,0.94,
TaZ,Poland,2015,0.94,
hazed,USA,2015,0.94,
freakazoid,USA,2015,0.93,
spyleadeR,Bulgaria,2015,0.93,
bubble,Bulgaria,2015,0.92,
Zeus,Ukraine,2015,0.92,
boltz,Brazil,2015,0.92,
DavCost,Russia,2015,0.92,
Ex6TenZ,Belgium,2015,0.90,
friberg,Sweden,2015,0.90,
STYKO,Slovakia,2015,0.90,
SmithZz,France,2015,0.89,
FNS,Canada,2015,0.89,
oskarish,Poland,2015,0.88,
steel,Brazil,2015,0.86,
denis,Germany,2015,0.86,
kUcheR,Russia,2015,0.85,
MSL,Denmark,2015,0.85,
pronax,Sweden,2015,0.82,
B1ad3,Ukraine,2015,0.81,
nkl,Bulgaria,2015,0.78,
gob b,Germany,2015,0.73,
Loord,Poland,2015,0.69,
oskar,Czechia,2016,1.19,
coldzera,Brazil,2016,1.19,
device,Denmark,2016,1.17,
NiKo,Bosnia,2016,1.16,
s1mple,Ukraine,2016,1.13,
shox,France,2016,1.12,
HEN1,Brazil,2016,1.12,
autimatic,USA,2016,1.11,
ScreaM,Belgium,2016,1.11,
FalleN,Brazil,2016,1.10,
Magisk,Denmark,2016,1.10,
kennyS,France,2016,1.10,
flusha,Sweden,2016,1.10,
twist,Sweden,2016,1.09,
f0rest,Sweden,2016,1.09,
dennis,Sweden,2016,1.08,
Kjaerbye,Denmark,2016,1.08,
GuardiaN,Slovakia,2016,1.08,
GeT_RiGhT,Sweden,2016,1.07,
olofmeister,Sweden,2016,1.07,
dupreeh,Denmark,2016,1.07,
mixwell,Spain,2016,1.07,
k0nfig,Denmark,2016,1.07,
cajunb,Denmark,2016,1.07,
WorldEdit,Russia,2016,1.07,
rain,Norway,2016,1.06,
valde,Denmark,2016,1.06,
bubble,Bulgaria,2016,1.06,
fer,Brazil,2016,1.06,
flamie,Russia,2016,1.05,
boltz,Brazil,2016,1.05,
shroud,Canada,2016,1.04,
JW,Sweden,2016,1.04,
AdreN,Kazakhstan,2016,1.04,
Furlan,Poland,2016,1.04,
znajder,Sweden,2016,1.03,
STYKO,Slovakia,2016,1.03,
Stewie2K,USA,2016,1.03,
Snax,Poland,2016,1.03,
fnx,Brazil,2016,1.03,
dream3r,Bulgaria,2016,1.03,
chrisJ,Netherlands,2016,1.03,
nex,Germany,2016,1.03,
allu,Finland,2016,1.03,
loWel,Spain,2016,1.02,
felps,Brazil,2016,1.02,
RUSH,USA,2016,1.02,
DeadFox,Hungary,2016,1.01,
mou,Kazakhstan,2016,1.01,
Skadoodle,USA,2016,1.01,
EliGE,USA,2016,1.00,
Happy,France,2016,1.00,
jks,Australia,2016,1.00,
ShahZaM,USA,2016,1.00,
Lekr0,Sweden,2016,1.00,
byali,Poland,2016,1.00,
aizy,Denmark,2016,1.00,
tarik,USA,2016,1.00,
koosta,USA,2016,0.99,
Xyp9x,Denmark,2016,0.99,
AZR,Australia,2016,0.99,
disco doplan,Sweden,2016,0.99,
roca,USA,2016,0.99,
bondik,Ukraine,2016,0.99,
Edward,Ukraine,2016,0.99,
NAF,Canada,2016,0.99,
KRIMZ,Sweden,2016,0.99,
MODDII,Sweden,2016,0.99,
ryx,USA,2016,0.98,
SicK,USA,2016,0.98,
apEX,France,2016,0.98,
rallen,Poland,2016,0.98,
Hiko,USA,2016,0.97,
seized,Russia,2016,0.97,
nitr0,USA,2016,0.97,
Rickeh,Australia,2016,0.97,
Xizt,Sweden,2016,0.97,
n0thing,USA,2016,0.97,
RpK,France,2016,0.97,
RUBINO,Norway,2016,0.97,
TaZ,Poland,2016,0.96,
TACO,Brazil,2016,0.96,
Relyks,USA,2016,0.96,
gla1ve,Denmark,2016,0.96,
somebody,China,2016,0.96,
pyth,Sweden,2016,0.96,
stanislaw,Canada,2016,0.96,
LUCAS1,Brazil,2016,0.96,
jkaem,Norway,2016,0.96,
jdm64,USA,2016,0.96,
bodyy,France,2016,0.96,
v1c7oR,Bulgaria,2016,0.95,
USTILO,Australia,2016,0.95,
Zero,Slovakia,2016,0.95,
NEO,Poland,2016,0.95,
Pimp,Denmark,2016,0.95,
NBK-,France,2016,0.95,
GruBy,Poland,2016,0.95,
friberg,Sweden,2016,0.94,
Ex6TenZ,Belgium,2016,0.94,
markeloff,Ukraine,2016,0.94,
kioShiMa,France,2016,0.94,
Spiidi,Germany,2016,0.94,
DD,China,2016,0.94,
fox,Portugal,2016,0.93,
Friis,Denmark,2016,0.93,
captainMo,China,2016,0.93,
Zeus,Ukraine,2016,0.93,
SEMPHIS,Canada,2016,0.93,
pashaBiceps,Poland,2016,0.93,
TENZKI,Denmark,2016,0.92,
ANGE1,Ukraine,2016,0.92,
Dosia,Russia,2016,0.91,
just9n,USA,2016,0.91,
SmithZz,France,2016,0.91,
Maikelele,Sweden,2016,0.91,
wenton,Sweden,2016,0.90,
karrigan,Denmark,2016,0.90,
Summer,China,2016,0.89,
hazed,USA,2016,0.89,
SIXER,France,2016,0.89,
Attacker,China,2016,0.89,
spyleadeR,Bulgaria,2016,0.89,
denis,Germany,2016,0.89,
electroNic,Russia,2016,0.89,
DEVIL,France,2016,0.88,
Hyper,Poland,2016,0.88,
SHOOWTiME,Brazil,2016,0.88,
freakazoid,USA,2016,0.87,
repo,Poland,2016,0.87,
adreN,USA,2016,0.86,
FugLy,USA,2016,0.86,
wayLander,Russia,2016,0.86,
Snappi,Denmark,2016,0.86,
yam,Australia,2016,0.86,
AcilioN,Denmark,2016,0.86,
Shara,Ukraine,2016,0.85,
reltuC,USA,2016,0.85,
daps,Canada,2016,0.85,
spaze,Russia,2016,0.85,
FNS,Canada,2016,0.84,
MSL,Denmark,2016,0.83,
hooch,Russia,2016,0.82,
pronax,Sweden,2016,0.82,
seang@res,USA,2016,0.80,
zews,Brazil,2016,0.80,
nkl,Bulgaria,2016,0.79,
Slemmy,USA,2016,0.78,
B1ad3,Ukraine,2016,0.78,
XANTARES,Turkey,2017,1.29,
NiKo,Bosnia,2017,1.23,
s1mple,Ukraine,2017,1.22,
coldzera,Brazil,2017,1.21,
fer,Brazil,2017,1.20,
rain,Norway,2017,1.17,
tabseN,Germany,2017,1.16,
device,Denmark,2017,1.15,
Calyx,Turkey,2017,1.15,
oskar,Czechia,2017,1.15,
Twistzz,Canada,2017,1.14,
paz,Turkey,2017,1.14,
k0nfig,Denmark,2017,1.14,
kennyS,France,2017,1.14,
fnx,Brazil,2017,1.13,
EliGE,USA,2017,1.13,
Lekr0,Sweden,2017,1.12,
ShahZaM,USA,2017,1.12,
boltz,Brazil,2017,1.12,
dupreeh,Denmark,2017,1.12,
FalleN,Brazil,2017,1.11,
Stewie2K,USA,2017,1.11,
NAF,Canada,2017,1.11,
JUGi,Denmark,2017,1.11,
nex,Germany,2017,1.11,
GuardiaN,Slovakia,2017,1.11,
draken,Sweden,2017,1.11,
olofmeister,Sweden,2017,1.10,
ropz,Estonia,2017,1.10,
suNny,Finland,2017,1.10,
HObbit,Kazakhstan,2017,1.10,
HS,Estonia,2017,1.09,
REZ,Sweden,2017,1.09,
Rickeh,Australia,2017,1.09,
GeT_RiGhT,Sweden,2017,1.09,
ScreaM,Belgium,2017,1.09,
flamie,Russia,2017,1.08,
Magisk,Denmark,2017,1.08,
JW,Sweden,2017,1.08,
autimatic,USA,2017,1.08,
HEN1,Brazil,2017,1.08,
Xyp9x,Denmark,2017,1.08,
amanek,France,2017,1.08,
AdreN,Kazakhstan,2017,1.08,
ANGE1,Ukraine,2017,1.08,
Kjaerbye,Denmark,2017,1.08,
cajunb,Denmark,2017,1.08,
f0rest,Sweden,2017,1.08,
valde,Denmark,2017,1.07,
shox,France,2017,1.07,
LUCAS1,Brazil,2017,1.07,
RpK,France,2017,1.07,
electroNic,Russia,2017,1.07,
apEX,France,2017,1.07,
twist,Sweden,2017,1.07,
NBK-,France,2017,1.07,
Ethan,USA,2017,1.06,
flusha,Sweden,2017,1.06,
mou,Kazakhstan,2017,1.06,
felps,Brazil,2017,1.05,
mixwell,Spain,2017,1.05,
niko,Denmark,2017,1.05,
MICHU,Poland,2017,1.04,
ISSAA,Jordan,2017,1.04,
woxic,Turkey,2017,1.04,
jks,Australia,2017,1.04,
allu,Finland,2017,1.04,
Zero,Slovakia,2017,1.04,
Happy,France,2017,1.03,
tarik,USA,2017,1.03,
pashaBiceps,Poland,2017,1.03,
dennis,Sweden,2017,1.03,
USTILO,Australia,2017,1.03,
bodyy,France,2017,1.02,
byali,Poland,2017,1.02,
Snax,Poland,2017,1.02,
KRIMZ,Sweden,2017,1.02,
kNgV-,Brazil,2017,1.02,
bondik,Ukraine,2017,1.02,
aizy,Denmark,2017,1.02,
loWel,Spain,2017,1.02,
kioShiMa,France,2017,1.02,
disco doplan,Sweden,2017,1.01,
RUSH,USA,2017,1.01,
koosta,USA,2017,1.01,
AZR,Australia,2017,1.01,
devoduvek,France,2017,1.01,
Skadoodle,USA,2017,1.01,
steel,Brazil,2017,1.00,
Dosia,Russia,2017,1.00,
MAJ3R,Turkey,2017,1.00,
ngiN,Turkey,2017,1.00,
DeadFox,Hungary,2017,0.99,
gla1ve,Denmark,2017,0.99,
reltuC,USA,2017,0.99,
WorldEdit,Russia,2017,0.99,
MODDII,Sweden,2017,0.99,
chrisJ,Netherlands,2017,0.99,
jdm64,USA,2017,0.99,
Xizt,Sweden,2017,0.99,
Snappi,Denmark,2017,0.98,
fitch,Kazakhstan,2017,0.98,
Edward,Ukraine,2017,0.98,
Nifty,USA,2017,0.98,
SZPERO,Poland,2017,0.98,
keev,Germany,2017,0.98,
stanislaw,Canada,2017,0.98,
STYKO,Slovakia,2017,0.98,
SicK,USA,2017,0.97,
nitr0,USA,2017,0.97,
denis,Germany,2017,0.97,
MSL,Denmark,2017,0.96,
xms,France,2017,0.96,
TACO,Brazil,2017,0.96,
n0thing,USA,2017,0.96,
shroud,Canada,2017,0.96,
znajder,Sweden,2017,0.96,
rallen,Poland,2017,0.95,
markeloff,Ukraine,2017,0.95,
friberg,Sweden,2017,0.95,
karrigan,Denmark,2017,0.94,
mouz,Poland,2017,0.94,
NEO,Poland,2017,0.94,
Spiidi,Germany,2017,0.94,
es3tag,Denmark,2017,0.93,
SIXER,France,2017,0.93,
Zeus,Ukraine,2017,0.93,
Furlan,Poland,2017,0.92,
seized,Russia,2017,0.91,
TaZ,Poland,2017,0.90,
DESPE,Turkey,2017,0.90,
Golden,Sweden,2017,0.90,
gob b,Germany,2017,0.89,
LEGIJA,Germany,2017,0.88,
seang@res,USA,2017,0.88,
jasonR,Canada,2017,0.87,
wayLander,Russia,2017,0.87,
FNS,Canada,2017,0.84,
pronax,Sweden,2017,0.78,
B1ad3,Ukraine,2017,0.77,
s1mple,Ukraine,2018,1.34,
device,Denmark,2018,1.23,
XANTARES,Turkey,2018,1.23,
NiKo,Bosnia,2018,1.21,
tabseN,Germany,2018,1.20,
woxic,Turkey,2018,1.19,
sergej,Finland,2018,1.18,
Ethan,USA,2018,1.18,
electroNic,Russia,2018,1.17,
dupreeh,Denmark,2018,1.17,
Magisk,Denmark,2018,1.15,
NAF,Canada,2018,1.15,
coldzera,Brazil,2018,1.14,
valde,Denmark,2018,1.13,
Aerial,Finland,2018,1.13,
autimatic,USA,2018,1.13,
oskar,Czechia,2018,1.12,
gla1ve,Denmark,2018,1.12,
Twistzz,Canada,2018,1.12,
Xyp9x,Denmark,2018,1.12,
Brehze,USA,2018,1.12,
suNny,Finland,2018,1.11,
CeRq,Bulgaria,2018,1.11,
allu,Finland,2018,1.11,
apEX,France,2018,1.10,
k0nfig,Denmark,2018,1.10,
ISSAA,Jordan,2018,1.10,
amanek,France,2018,1.09,
Kjaerbye,Denmark,2018,1.09,
EliGE,USA,2018,1.09,
nex,Germany,2018,1.09,
GuardiaN,Slovakia,2018,1.09,
KRIMZ,Sweden,2018,1.09,
kennyS,France,2018,1.08,
Calyx,Turkey,2018,1.08,
ropz,Estonia,2018,1.08,
es3tag,Denmark,2018,1.08,
JUGi,Denmark,2018,1.07,
FalleN,Brazil,2018,1.07,
rain,Norway,2018,1.07,
twist,Sweden,2018,1.07,
mertz,Denmark,2018,1.07,
stanislaw,Canada,2018,1.07,
mixwell,Spain,2018,1.07,
flamie,Russia,2018,1.07,
cajunb,Denmark,2018,1.06,
Brollan,Sweden,2018,1.06,
REZ,Sweden,2018,1.06,
f0rest,Sweden,2018,1.06,
shox,France,2018,1.06,
fer,Brazil,2018,1.06,
paz,Turkey,2018,1.05,
cromen,Norway,2018,1.05,
BnTeT,Indonesia,2018,1.05,
mou,Kazakhstan,2018,1.05,
tarik,USA,2018,1.05,
flusha,Sweden,2018,1.04,
nitr0,USA,2018,1.04,
smooya,UK,2018,1.04,
hampus,Sweden,2018,1.04,
Lekr0,Sweden,2018,1.04,
draken,Sweden,2018,1.04,
GruBy,Poland,2018,1.04,
Stewie2K,USA,2018,1.04,
disco doplan,Sweden,2018,1.03,
dennis,Sweden,2018,1.03,
NBK-,France,2018,1.03,
aizy,Denmark,2018,1.03,
HObbit,Kazakhstan,2018,1.03,
olofmeister,Sweden,2018,1.02,
jks,Australia,2018,1.02,
jkaem,Norway,2018,1.02,
Furlan,Poland,2018,1.02,
ScreaM,Belgium,2018,1.02,
bondik,Ukraine,2018,1.02,
chrisJ,Netherlands,2018,1.02,
JW,Sweden,2018,1.01,
Skadoodle,USA,2018,1.01,
FugLy,USA,2018,1.01,
kioShiMa,France,2018,1.01,
Aleksib,Finland,2018,1.01,
hAdji,France,2018,1.01,
gade,Denmark,2018,1.01,
AdreN,Kazakhstan,2018,1.00,
RUSH,USA,2018,1.00,
niko,Denmark,2018,1.00,
MICHU,Poland,2018,1.00,
snatchie,Poland,2018,1.00,
MAJ3R,Turkey,2018,1.00,
Gratisfaction,New Zealand,2018,1.00,
cadiaN,Denmark,2018,0.99,
ShahZaM,USA,2018,0.99,
ALEX,UK,2018,0.99,
Happy,France,2018,0.99,
Edward,Ukraine,2018,0.99,
somebody,China,2018,0.98,
ANDROID,Canada,2018,0.98,
Snax,Poland,2018,0.98,
chopper,Russia,2018,0.98,
to1nou,Belgium,2018,0.98,
byali,Poland,2018,0.98,
DD,China,2018,0.98,
mir,Russia,2018,0.98,
freddieb,Sweden,2018,0.97,
pashaBiceps,Poland,2018,0.97,
Snappi,Denmark,2018,0.97,
xseveN,Finland,2018,0.97,
xccurate,Indonesia,2018,0.97,
jR,Ukraine,2018,0.97,
GeT_RiGhT,Sweden,2018,0.97,
ANGE1,Ukraine,2018,0.97,
tiziaN,Germany,2018,0.97,
devoduvek,France,2018,0.96,
MSL,Denmark,2018,0.96,
seized,Russia,2018,0.95,
friberg,Sweden,2018,0.95,
TACO,Brazil,2018,0.95,
dephh,UK,2018,0.95,
MODDII,Sweden,2018,0.95,
AZR,Australia,2018,0.95,
Dosia,Russia,2018,0.95,
boltz,Brazil,2018,0.94,
bodyy,France,2018,0.94,
TOAO,Poland,2018,0.94,
STYKO,Slovakia,2018,0.94,
steel,Brazil,2018,0.94,
yay,USA,2018,0.94,
Nifty,USA,2018,0.93,
RpK,France,2018,0.93,
Liazz,Australia,2018,0.93,
Ex6TenZ,Belgium,2018,0.93,
phr,Poland,2018,0.93,
LOGAN,France,2018,0.93,
AcilioN,Denmark,2018,0.92,
Zeus,Ukraine,2018,0.92,
karrigan,Denmark,2018,0.92,
DeadFox,Hungary,2018,0.91,
gob b,Germany,2018,0.91,
Xizt,Sweden,2018,0.91,
daps,Canada,2018,0.91,
RUBINO,Norway,2018,0.90,
USTILO,Australia,2018,0.90,
ngiN,Turkey,2018,0.90,
hutji,Russia,2018,0.89,
Golden,Sweden,2018,0.88,
captainMo,China,2018,0.86,
NEO,Poland,2018,0.86,
SmithZz,France,2018,0.80,
s1mple,Ukraine,2019,1.29,
ZywOo,France,2019,1.28,
device,Denmark,2019,1.21,
electroNic,Russia,2019,1.20,
EliGE,USA,2019,1.19,
Jame,Russia,2019,1.19,
ropz,Estonia,2019,1.17,
huNter-,Bosnia,2019,1.17,
NiKo,Bosnia,2019,1.16,
NAF,Canada,2019,1.15,
Magisk,Denmark,2019,1.15,
KSCERATO,Brazil,2019,1.15,
woxic,Turkey,2019,1.14,
nexa,Serbia,2019,1.14,
Brehze,USA,2019,1.13,
coldzera,Brazil,2019,1.13,
frozen,Slovakia,2019,1.13,
XANTARES,Turkey,2019,1.12,
kennyS,France,2019,1.12,
xsepower,Russia,2019,1.12,
Twistzz,Canada,2019,1.12,
jks,Australia,2019,1.12,
acoR,Denmark,2019,1.11,
blameF,Denmark,2019,1.11,
roeJ,Denmark,2019,1.11,
poizon,Bulgaria,2019,1.11,
sergej,Finland,2019,1.10,
Bubzkji,Denmark,2019,1.10,
HEN1,Brazil,2019,1.10,
CeRq,Bulgaria,2019,1.09,
dupreeh,Denmark,2019,1.09,
Ethan,USA,2019,1.09,
tabseN,Germany,2019,1.09,
Xyp9x,Denmark,2019,1.09,
Qikert,Kazakhstan,2019,1.09,
fer,Brazil,2019,1.09,
yuurih,Brazil,2019,1.09,
KRIMZ,Sweden,2019,1.08,
stavn,Denmark,2019,1.08,
Brollan,Sweden,2019,1.08,
sjuush,Denmark,2019,1.08,
valde,Denmark,2019,1.08,
jkaem,Norway,2019,1.07,
allu,Finland,2019,1.07,
ottoNd,Finland,2019,1.07,
flusha,Sweden,2019,1.06,
rain,Norway,2019,1.06,
aizy,Denmark,2019,1.06,
Boombl4,Russia,2019,1.05,
buster,Kazakhstan,2019,1.05,
Kjaerbye,Denmark,2019,1.05,
dexter,Australia,2019,1.05,
flamie,Russia,2019,1.05,
Plopski,Sweden,2019,1.05,
JW,Sweden,2019,1.04,
gla1ve,Denmark,2019,1.04,
f0rest,Sweden,2019,1.04,
shox,France,2019,1.04,
SHiPZ,Bulgaria,2019,1.04,
es3tag,Denmark,2019,1.04,
autimatic,USA,2019,1.03,
k0nfig,Denmark,2019,1.03,
kioShiMa,France,2019,1.03,
chrisJ,Netherlands,2019,1.03,
suNny,Finland,2019,1.03,
Stewie2K,USA,2019,1.03,
amanek,France,2019,1.03,
FalleN,Brazil,2019,1.03,
b0RUP,Denmark,2019,1.02,
NBK-,France,2019,1.02,
Sico,New Zealand,2019,1.02,
LUCAS1,Brazil,2019,1.02,
Edward,Ukraine,2019,1.02,
almazer,Russia,2019,1.01,
apEX,France,2019,1.01,
FL1T,Russia,2019,1.01,
EspiranTo,Lithuania,2019,1.01,
JACKZ,France,2019,1.01,
nitr0,USA,2019,1.01,
Liazz,Australia,2019,1.01,
GuardiaN,Slovakia,2019,1.01,
olofmeister,Sweden,2019,1.01,
REZ,Sweden,2019,1.00,
arT,Brazil,2019,1.00,
twist,Sweden,2019,1.00,
cadiaN,Denmark,2019,1.00,
broky,Latvia,2019,1.00,
Aleksib,Finland,2019,1.00,
facecrack,Russia,2019,1.00,
felps,Brazil,2019,1.00,
JUGi,Denmark,2019,1.00,
tarik,USA,2019,0.99,
Aerial,Finland,2019,0.99,
friberg,Sweden,2019,0.98,
dennis,Sweden,2019,0.98,
niko,Denmark,2019,0.98,
ALEX,UK,2019,0.97,
Jerry,Russia,2019,0.97,
Lekr0,Sweden,2019,0.97,
draken,Sweden,2019,0.97,
Snappi,Denmark,2019,0.97,
Lucky,France,2019,0.96,
gade,Denmark,2019,0.96,
Gratisfaction,New Zealand,2019,0.96,
VINI,Brazil,2019,0.96,
xseveN,Finland,2019,0.96,
v1c7oR,Bulgaria,2019,0.95,
RpK,France,2019,0.95,
refrezh,Denmark,2019,0.95,
kNgV-,Brazil,2019,0.94,
nex,Germany,2019,0.94,
phr,Poland,2019,0.94,
ableJ,Brazil,2019,0.94,
stanislaw,Canada,2019,0.94,
karrigan,Denmark,2019,0.94,
AZR,Australia,2019,0.93,
SANJI,Uzbekistan,2019,0.93,
fitch,Kazakhstan,2019,0.93,
LETN1,Serbia,2019,0.93,
TACO,Brazil,2019,0.93,
RUSH,USA,2019,0.92,
blocker,Bulgaria,2019,0.92,
Zeus,Ukraine,2019,0.92,
koosta,USA,2019,0.92,
cajunb,Denmark,2019,0.91,
bubble,Bulgaria,2019,0.91,
AdreN,Kazakhstan,2019,0.91,
NaToSaphiX,Denmark,2019,0.90,
MSL,Denmark,2019,0.90,
Golden,Sweden,2019,0.90,
Xizt,Sweden,2019,0.89,
malta,Australia,2019,0.88,
KrizzeN,Kazakhstan,2019,0.88,
GeT_RiGhT,Sweden,2019,0.87,
daps,Canada,2019,0.87,
tiziaN,Germany,2019,0.86,
DickStacy,Australia,2019,0.86,
NEO,Poland,2019,0.85,
gob b,Germany,2019,0.85,
HUNDEN,Denmark,2019,0.84,
TeSeS,Denmark,2019,0.83,
ZywOo,France,2020,1.28,
s1mple,Ukraine,2020,1.28,
device,Denmark,2020,1.20,
NiKo,Bosnia,2020,1.18,
blameF,Denmark,2020,1.17,
EliGE,USA,2020,1.16,
ropz,Estonia,2020,1.16,
mir,Russia,2020,1.16,
yuurih,Brazil,2020,1.14,
electroNic,Russia,2020,1.14,
KSCERATO,Brazil,2020,1.14,
HEN1,Brazil,2020,1.13,
syrsoN,Germany,2020,1.12,
floppy,USA,2020,1.12,
jks,Australia,2020,1.11,
acoR,Denmark,2020,1.11,
xsepower,Russia,2020,1.11,
Brehze,USA,2020,1.10,
k0nfig,Denmark,2020,1.10,
mantuu,Poland,2020,1.10,
NAF,Canada,2020,1.09,
dupreeh,Denmark,2020,1.09,
stavn,Denmark,2020,1.09,
valde,Denmark,2020,1.09,
CeRq,Bulgaria,2020,1.09,
Magisk,Denmark,2020,1.09,
XANTARES,Turkey,2020,1.09,
Brollan,Sweden,2020,1.09,
Jame,Russia,2020,1.08,
Bubzkji,Denmark,2020,1.08,
huNter-,Bosnia,2020,1.08,
FL1T,Russia,2020,1.08,
allu,Finland,2020,1.08,
Ethan,USA,2020,1.08,
es3tag,Denmark,2020,1.08,
Xyp9x,Denmark,2020,1.07,
REZ,Sweden,2020,1.07,
FalleN,Brazil,2020,1.07,
nawwk,Sweden,2020,1.07,
oSee,USA,2020,1.07,
KRIMZ,Sweden,2020,1.07,
frozen,Slovakia,2020,1.07,
broky,Latvia,2020,1.07,
zehN,Finland,2020,1.06,
tabseN,Germany,2020,1.06,
oBo,USA,2020,1.06,
niko,Denmark,2020,1.06,
Twistzz,Canada,2020,1.06,
cadiaN,Denmark,2020,1.06,
TeSeS,Denmark,2020,1.06,
Jerry,Russia,2020,1.06,
iDISBALANCE,Russia,2020,1.06,
Qikert,Kazakhstan,2020,1.05,
jkaem,Norway,2020,1.05,
Farlig,Denmark,2020,1.05,
nexa,Serbia,2020,1.05,
Plopski,Sweden,2020,1.05,
sjuush,Denmark,2020,1.05,
Maden,Montenegro,2020,1.05,
Sonic,South Africa,2020,1.05,
kennyS,France,2020,1.05,
woxic,Turkey,2020,1.04,
coldzera,Brazil,2020,1.04,
shox,France,2020,1.04,
poizon,Bulgaria,2020,1.04,
autimatic,USA,2020,1.04,
Gratisfaction,New Zealand,2020,1.04,
Lekr0,Sweden,2020,1.04,
arT,Brazil,2020,1.03,
STYKO,Slovakia,2020,1.03,
fer,Brazil,2020,1.03,
koosta,USA,2020,1.03,
Xeppaa,USA,2020,1.03,
YEKINDAR,Latvia,2020,1.03,
roeJ,Denmark,2020,1.02,
kNgV-,Brazil,2020,1.02,
gla1ve,Denmark,2020,1.02,
ISSAA,Jordan,2020,1.02,
Grim,USA,2020,1.01,
rain,Norway,2020,1.01,
buster,Kazakhstan,2020,1.01,
sdy,Ukraine,2020,1.01,
BnTeT,Indonesia,2020,1.01,
tarik,USA,2020,1.01,
flusha,Sweden,2020,1.01,
RpK,France,2020,1.00,
apEX,France,2020,1.00,
facecrack,Russia,2020,1.00,
magixx,Russia,2020,1.00,
JW,Sweden,2020,0.99,
leaf,USA,2020,0.99,
hampus,Sweden,2020,0.99,
VINI,Brazil,2020,0.99,
motm,USA,2020,0.99,
NBK-,France,2020,0.99,
